locationID,type,name,address,city,province,postalCode,phoneNumber,webAddress,maxCapacity,personnelCount,memberCount
1,Head,"Pallet Club","1 Oak St","Pallet Town",Kanto,"K1N 7D4",555-1234,http://palletvolleyball.com,100,3,1
2,Branch,"Cerulean Club","25 Water Rd","Cerulean City",Kanto,"C3R 1LE",555-5678,http://ceruleanmvc.com,80,1,1
3,Branch,"Vermilion Club","10 Harbor St","Vermilion City",Kanto,"V2R 5IT",555-8765,http://vermilionmvc.com,60,1,1
4,Branch,"Celadon Club","5 Green Ave","Celadon City",Kanto,"C6L 8TY",555-2345,http://celadonmvc.com,70,0,1
5,Branch,"Fuchsia Club","15 Pink Blvd","Fuchsia City",Kanto,"F1C 9HS",555-3456,http://fuchsiamvc.com,50,2,1
6,Branch,"Saffron Club","30 Electric Rd","Saffron City",Kanto,"S4F 3RT",555-4567,http://saffronmvc.com,90,1,1
7,Branch,"Lavender Club","2 Spirit Ln","Lavender Town",Kanto,"L2V 7RN",555-5679,http://lavendermvc.com,40,1,1
8,Branch,"Goldenrod Club","88 Radio St","Goldenrod City",Johto,"G8D 9LR",555-6789,http://goldenrodmvc.com,100,1,1
9,Branch,"Ecruteak Club","3 Bell Rd","Ecruteak City",Johto,"E3C 1TY",555-7890,http://ecruteakmvc.com,70,0,1
10,Branch,"Blackthorn Club","10 Dragon St","Blackthorn City",Johto,"B1C 4TN",555-8901,http://blackthornmvc.com,60,0,1
